,Latitude,Longitude,Humidity1_0,Pressure1_0,Temp1_0,WindDirSin1_0,WindDirCos1_0,WindSpeed1_0,DayOfYearSin1_0,DayOfYearCos1_0,Thunderstorm_1_0,Thunderstorm_prox_1_0,Drizzle_1_0,Rain_1_0,Freezing_rain_1_0,Rain_prox_1_0,Snow_1_0,Sleet_1_0,Rain_snow_1_0,Atmopsphere1_1_0,Atmosphere2_1_0,Squall_1_0,Tornado_1_0,Clouds_1_0,Humidity2_0,Pressure2_0,Temp2_0,WindDirSin2_0,WindDirCos2_0,WindSpeed2_0,DayOfYearSin2_0,DayOfYearCos2_0,Thunderstorm_2_0,Thunderstorm_prox_2_0,Drizzle_2_0,Rain_2_0,Freezing_rain_2_0,Rain_prox_2_0,Snow_2_0,Sleet_2_0,Rain_snow_2_0,Atmopsphere1_2_0,Atmosphere2_2_0,Squall_2_0,Tornado_2_0,Clouds_2_0,Humidity3_0,Pressure3_0,Temp3_0,WindDirSin3_0,WindDirCos3_0,WindSpeed3_0,DayOfYearSin3_0,DayOfYearCos3_0,Thunderstorm_3_0,Thunderstorm_prox_3_0,Drizzle_3_0,Rain_3_0,Freezing_rain_3_0,Rain_prox_3_0,Snow_3_0,Sleet_3_0,Rain_snow_3_0,Atmopsphere1_3_0,Atmosphere2_3_0,Squall_3_0,Tornado_3_0,Clouds_3_0,Temp5
240,-123.119339,49.24966,88.97583114918882,1042.5128058797443,285.22197916666664,0.8442741196217992,-0.18775258021972857,1.4166666666666667,0.5452404385406513,-0.8382797052177741,0.0,0.0,0.0,0.8333333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,1.0416666666666667,86.35083114918882,1028.8305428735562,285.1141666666667,-0.06504443756973224,0.14506314125576975,1.0416666666666667,0.5307300481619337,-0.8475409228928309,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,88.76166521057033,1038.523279867368,284.66125,0.40209928772449055,-0.040331631533766885,0.9166666666666666,0.5160623910158528,-0.8565509959010036,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,1.7916666666666667,287.0325
241,-123.119339,49.24966,86.35083114918882,1028.8305428735562,285.1141666666667,-0.06504443756973224,0.14506314125576975,1.0416666666666667,0.5307300481619337,-0.8475409228928309,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,88.76166521057033,1038.523279867368,284.66125,0.40209928772449055,-0.040331631533766885,0.9166666666666666,0.5160623910158528,-0.8565509959010036,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,1.7916666666666667,79.92833187723699,1036.400841043317,285.6125,0.3201657508798206,-0.1105025110993417,0.9583333333333334,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,287.54
242,-123.119339,49.24966,88.76166521057033,1038.523279867368,284.66125,0.40209928772449055,-0.040331631533766885,0.9166666666666666,0.5160623910158528,-0.8565509959010036,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,1.7916666666666667,79.92833187723699,1036.400841043317,285.6125,0.3201657508798206,-0.1105025110993417,0.9583333333333334,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,71.0,1062.0754205216585,287.0325,-0.163165361251408,-0.23512913709700298,0.125,0.4862727071086904,-0.8738071036110806,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,288.4429166666667
243,-123.119339,49.24966,79.92833187723699,1036.400841043317,285.6125,0.3201657508798206,-0.1105025110993417,0.9583333333333334,0.5012418134457758,-0.865307254363206,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4166666666666667,71.0,1062.0754205216585,287.0325,-0.163165361251408,-0.23512913709700298,0.125,0.4862727071086904,-0.8738071036110806,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,72.79166666666667,1036.6925077099836,287.54,-0.1846737293113411,0.03999314635796776,0.375,0.47115950767386416,-0.8820480249558534,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4583333333333333,289.35791666666665
244,-123.119339,49.24966,71.0,1062.0754205216585,287.0325,-0.163165361251408,-0.23512913709700298,0.125,0.4862727071086904,-0.8738071036110806,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,72.79166666666667,1036.6925077099836,287.54,-0.1846737293113411,0.03999314635796776,0.375,0.47115950767386416,-0.8820480249558534,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4583333333333333,73.70833333333333,1042.4399465340348,288.4429166666667,-0.3709342788908978,0.24206433657525445,0.25,0.4559066935084588,-0.8900275764346767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,291.22083333333336
245,-123.119339,49.24966,72.79166666666667,1036.6925077099836,287.54,-0.1846737293113411,0.03999314635796776,0.375,0.47115950767386416,-0.8820480249558534,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4583333333333333,73.70833333333333,1042.4399465340348,288.4429166666667,-0.3709342788908978,0.24206433657525445,0.25,0.4559066935084588,-0.8900275764346767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.91666666666667,1045.2083333333333,289.35791666666665,-0.4221854171413038,0.19757225264730532,0.5416666666666666,0.440518784350495,-0.8977433935342337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,291.0283333333333
246,-123.119339,49.24966,73.70833333333333,1042.4399465340348,288.4429166666667,-0.3709342788908978,0.24206433657525445,0.25,0.4559066935084588,-0.8900275764346767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.91666666666667,1045.2083333333333,289.35791666666665,-0.4221854171413038,0.19757225264730532,0.5416666666666666,0.440518784350495,-0.8977433935342337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,70.45833333333333,1023.1666666666666,291.22083333333336,-0.5743785274533648,-0.04047077061934953,0.8333333333333334,0.42500033996955416,-0.9051931898913974,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2083333333333335,289.85125
247,-123.119339,49.24966,72.91666666666667,1045.2083333333333,289.35791666666665,-0.4221854171413038,0.19757225264730532,0.5416666666666666,0.440518784350495,-0.8977433935342337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,70.45833333333333,1023.1666666666666,291.22083333333336,-0.5743785274533648,-0.04047077061934953,0.8333333333333334,0.42500033996955416,-0.9051931898913974,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2083333333333335,72.125,1034.1666666666667,291.0283333333333,-0.5297079637475537,0.22042074977517426,0.9583333333333334,0.40935595881562176,-0.9123747579707272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7916666666666667,287.7225
248,-123.119339,49.24966,70.45833333333333,1023.1666666666666,291.22083333333336,-0.5743785274533648,-0.04047077061934953,0.8333333333333334,0.42500033996955416,-0.9051931898913974,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2083333333333335,72.125,1034.1666666666667,291.0283333333333,-0.5297079637475537,0.22042074977517426,0.9583333333333334,0.40935595881562176,-0.9123747579707272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7916666666666667,72.0,1018.9583333333334,289.85125,0.34934980093001494,-0.2555645957875742,1.0416666666666667,0.3935902766564671,-0.9192859697186103,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,1.8333333333333333,287.645
249,-123.119339,49.24966,72.125,1034.1666666666667,291.0283333333333,-0.5297079637475537,0.22042074977517426,0.9583333333333334,0.40935595881562176,-0.9123747579707272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7916666666666667,72.0,1018.9583333333334,289.85125,0.34934980093001494,-0.2555645957875742,1.0416666666666667,0.3935902766564671,-0.9192859697186103,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,1.8333333333333333,75.45833333333333,1038.0416666666667,287.7225,0.4297511025407099,-0.4202494016910653,0.7083333333333334,0.3777079652039649,-0.9259247771938498,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,287.3754166666667
